"skill","salary"
"databricks","125000"
"tableau","125000"
"qlik","125000"
"alteryx","125000"
"github","125000"
"jira","125000"
"javascript","65000"
"css","65000"
"php","65000"
"react","65000"
"angular","65000"
"splunk","65000"
"github","65000"
"atlassian","65000"
"sql","90000"
"python","90000"
"r","90000"
"tableau","90000"
"power bi","90000"
"flow","95000"
"r","83500"
"tableau","83500"
"excel","53014"
"word","53014"
"sql","54500"
"excel","54500"
"tableau","54500"
"sql","99150"
"java","99150"
"javascript","99150"
"mysql","99150"
"aws","99150"
"snowflake","99150"
"spark","99150"
"airflow","99150"
"hadoop","99150"
"kafka","99150"
"spring","99150"
"react","99150"
"tableau","99150"
"looker","99150"
"qlik","99150"
"docker","99150"
"sql","125000"
"tableau","125000"
"sql","110000"
"excel","110000"
"power bi","110000"
"alteryx","110000"
"flow","110000"
"r","126353"
"go","126353"
"spring","126353"
"excel","75000"
"word","75000"
"powerpoint","75000"
"outlook","75000"
"sql","103500"
"sql","100000"
"python","100000"
"r","100000"
"sas","100000"
"matlab","100000"
"visual basic","100000"
"oracle","100000"
"tableau","100000"
"sas","100000"
"spss","100000"
"sql","139900"
"powerpoint","139900"
"sql","90000"
"python","90000"
"express","90000"
"excel","90000"
"python","90000"
"r","90000"
"azure","90000"
"aws","90000"
"tableau","90000"
"power bi","90000"
"powerpoint","90000"
"cognos","90000"
"visio","90000"
"sql","56700"
"python","56700"
"r","56700"
"spark","56700"
"power bi","56700"
"sql","105000"
"go","105000"
"snowflake","105000"
"tableau","105000"
"looker","105000"
"word","105000"
"sheets","105000"
"python","150000"
"matlab","150000"
"sql","100000"
"python","100000"
"scala","100000"
"r","100000"
"aws","100000"
"redshift","100000"
"excel","100000"
"tableau","100000"
"sql","82500"
"python","82500"
"c#","82500"
"vba","82500"
"excel","82500"
"r","84000"
"excel","84000"
"tableau","84000"
"sheets","84000"
"spss","84000"
"sql","99500"
"python","99500"
"java","99500"
"r","99500"
"bash","99500"
"c++","99500"
"c#","99500"
"powershell","99500"
"aws","99500"
"tableau","99500"
"excel","84500"
"powerpoint","72500"
"sql","110000"
"python","110000"
"r","110000"
"sas","110000"
"javascript","110000"
"azure","110000"
"databricks","110000"
"excel","110000"
"power bi","110000"
"sas","110000"
"word","110000"
"powerpoint","110000"
"jira","110000"
"sql","80000"
"sql server","80000"
"aws","80000"
"bigquery","80000"
"redshift","80000"
"tableau","80000"
"flow","125000"
"go","56700"
"sql","77500"
"sql","90460"
"python","90460"
"excel","90460"
"tableau","90460"
"powerpoint","90460"
"sql","137280"
"python","137280"
"java","137280"
"r","137280"
"sql","101000"
"python","101000"
"r","101000"
"databricks","101000"
"aws","101000"
"looker","101000"
"github","101000"
"slack","101000"
"sql","45000"
"sql server","45000"
"excel","45000"
"spreadsheet","45000"
"sql","57500"
"excel","100500"
"sql","82500"
"r","82500"
"javascript","82500"
"c#","82500"
"visual basic","82500"
"php","82500"
"sql server","82500"
"tableau","82500"
"ssis","82500"
"ssrs","82500"
"sql","119009"
"bigquery","119009"
"looker","119009"
"r","62560"
"sas","62560"
"sas","62560"
"sql","67818"
"python","67818"
"javascript","67818"
"css","67818"
"sql server","67818"
"oracle","67818"
"unix","67818"
"tableau","67818"
"sheets","67818"
"sharepoint","67818"
"sql","74050"
"python","74050"
"r","74050"
"excel","74050"
"sql","95000"
"r","95000"
"sas","95000"
"tableau","95000"
"sas","95000"
"sql","62500"
"excel","62500"
"word","62500"
"powerpoint","62500"
"outlook","62500"
"dax","105000"
"sharepoint","105000"
"ms access","105000"
"microsoft teams","105000"
"excel","70000"
"powerpoint","70000"
"excel","117500"
"tableau","117500"
"sql","69300"
"oracle","69300"
"power bi","69300"
"sql","67500"
"python","67500"
"r","67500"
"vba","67500"
"excel","67500"
"power bi","67500"
"spark","53014"
"sap","53014"
"sql","85000"
"python","85000"
"pandas","85000"
"numpy","85000"
"tableau","85000"
"github","85000"
"excel","97500"
"power bi","97500"
"powerpoint","97500"
"r","67818"
"sas","67818"
"sas","67818"
"sql","120000"
"python","120000"
"r","120000"
"vba","120000"
"excel","120000"
"power bi","120000"
"cognos","120000"
"alteryx","120000"
"sql","65000"
"python","65000"
"r","65000"
"excel","65000"
"tableau","65000"
"power bi","65000"
"sql","102500"
"python","102500"
"nosql","102500"
"python","125000"
"r","125000"
"sas","125000"
"sas","125000"
"sql","85000"
"python","85000"
"r","85000"
"excel","85000"
"tableau","85000"
"tableau","54988"
"sql","85600"
"python","85600"
"airflow","85600"
"tableau","85600"
"power bi","85600"
"sql","77500"
"excel","77500"
"power bi","77500"
"spark","75000"
"excel","75000"
"powerpoint","75000"
"gdpr","163782"
"sql","41447"
"sas","41447"
"excel","41447"
"sas","41447"
"sharepoint","41447"
"spss","41447"
"sql","87950"
"python","87950"
"oracle","87950"
"excel","87950"
"tableau","87950"
"power bi","87950"
"powerpoint","87950"
"planner","87950"
"db2","65000"
"c#","111202"
"azure","111202"
"tableau","111202"
"ssis","111202"
"sql","55000"
"python","55000"
"sas","55000"
"matlab","55000"
"excel","55000"
"sas","55000"
"spss","55000"
"sql","92550"
"sas","92550"
"excel","92550"
"sas","92550"
"sql","98500"
"snowflake","98500"
"sap","98500"
"jira","98500"
"sql","170000"
"python","170000"
"azure","170000"
"databricks","170000"
"power bi","170000"
"sql","100000"
"oracle","100000"
"tableau","100000"
"sql","73000"
"oracle","73000"
"sql","51363"
"python","51363"
"sql","50000"
"excel","50000"
"tableau","50000"
"power bi","50000"
"sql","92500"
"javascript","92500"
"html","92500"
"excel","92500"
"sharepoint","92500"
"atlassian","92500"
"jira","92500"
"confluence","92500"
"sql","100500"
"python","100500"
"r","100500"
"excel","100500"
"tableau","100500"
"power bi","100500"
"flow","100500"
"sql","92239"
"tableau","92239"
"power bi","92239"
"excel","70000"
"power bi","70000"
"sql","122500"
"javascript","122500"
"plotly","122500"
"excel","122500"
"tableau","122500"
"looker","122500"
"word","148000"
"powerpoint","148000"
"visio","148000"
"sql","77000"
"sql server","77000"
"oracle","77000"
"flow","77000"
"python","109159"
"r","109159"
"sas","109159"
"sas","109159"
"spark","200000"
"github","200000"
"sql","53014"
"go","53014"
"tableau","53014"
"looker","53014"
"github","53014"
"sql","139000"
"python","139000"
"scala","139000"
"java","139000"
"c++","139000"
"sql","85000"
"tableau","85000"
"looker","85000"
"sql","85396"
"python","85396"
"r","85396"
"azure","85396"
"aws","85396"
"tableau","85396"
"power bi","85396"
"sql","76500"
"python","76500"
"r","76500"
"bigquery","76500"
"excel","76500"
"excel","52500"
"outlook","52500"
"excel","92528"
"word","92528"
"outlook","92528"
"dax","50000"
"sql","70000"
"python","70000"
"nosql","70000"
"r","70000"
"matlab","70000"
"sql","110000"
"flow","110000"
"word","113059"
"spreadsheet","113059"
"sheets","72209"
"r","107800"
"sas","107800"
"excel","107800"
"tableau","107800"
"sas","107800"
"spss","107800"
"sql","45000"
"python","45000"
"vba","45000"
"excel","45000"
"vba","70000"
"excel","70000"
"sql","85000"
"python","85000"
"r","85000"
"sas","85000"
"excel","85000"
"tableau","85000"
"power bi","85000"
"sas","85000"
"word","85000"
"microstrategy","85000"
"powerpoint","85000"
"outlook","85000"
"sql","115000"
"t-sql","115000"
"sql server","115000"
"power bi","115000"
"sql","80850"
"python","80850"
"r","80850"
"matlab","80850"
"vba","111175"
"sql","72000"
"python","72000"
"aws","72000"
"excel","72000"
"tableau","72000"
"power bi","72000"
"powerpoint","72000"
"sap","80850"
"java","149653"
"c++","149653"
"matlab","149653"
"c","149653"
"sql","115000"
"python","115000"
"snowflake","115000"
"tableau","115000"
"sql","90000"
"sql server","90000"
"tableau","90000"
"cognos","90000"
"alteryx","90000"
"python","72900"
"r","72900"
"azure","72900"
"tableau","72900"
"power bi","72900"
"aws","115000"
"sql","100700"
"pyspark","100700"
"word","100700"
"spreadsheet","100700"
"sql","215500"
"flow","215500"
"aws","175000"
"gcp","175000"
"excel","175000"
"crystal","93411"
"excel","93411"
"powerpoint","93411"
"visio","93411"
"sql","108416"
"sas","108416"
"redshift","108416"
"oracle","108416"
"windows","108416"
"tableau","108416"
"sas","108416"
"sql","90000"
"github","90000"
"slack","90000"
"excel","105000"
"power bi","105000"
"excel","90000"
"javascript","65000"
"excel","65000"
"sas","65000"
"spss","65000"
"sql","112500"
"nosql","112500"
"go","112500"
"mongodb","112500"
"mongodb","112500"
"databricks","112500"
"redshift","112500"
"snowflake","112500"
"spark","112500"
"excel","112500"
"tableau","112500"
"power bi","112500"
"word","112500"
"outlook","112500"
"sql","62500"
"python","62500"
"excel","62500"
"tableau","62500"
"power bi","62500"
"sql","70000"
"t-sql","70000"
"crystal","70000"
"sql server","70000"
"azure","70000"
"power bi","70000"
"git","70000"
"flow","70000"
"sql","110000"
"python","110000"
"r","110000"
"sas","110000"
"javascript","110000"
"azure","110000"
"databricks","110000"
"excel","110000"
"power bi","110000"
"sas","110000"
"word","110000"
"powerpoint","110000"
"jira","110000"
"excel","52500"
